,time,syntax_penn_tok2,syntax_penn_lem2,lexical_tok2,lexical_lem2,cosine_semanticL,partner_direction,condition_info
67,67,0.12126781251816648,0.12126781251816648,0.0,0.0,0.5530773155017115,r>l,dyad12-dyad33-cond1
68,68,0.09901475429766744,0.19802950859533489,0.0,0.0,0.7116511017700062,l>r,dyad12-dyad33-cond1
69,69,0.0,0.0,0.0,0.0,0.46605068142649453,r>l,dyad12-dyad33-cond1
70,70,0.09759000729485333,0.09534625892455921,0.0,0.0,0.49381554725017995,l>r,dyad12-dyad33-cond1
71,71,0.1315903389919538,0.06428243465332249,0.0,0.0,0.7862453668196151,r>l,dyad12-dyad33-cond1
72,72,0.21320071635561041,0.21320071635561041,0.0,0.0,0.18793761539640508,l>r,dyad12-dyad33-cond1
73,73,0.0,0.0,0.0,0.0,0.33307320284171016,r>l,dyad12-dyad33-cond1
74,74,0.19802950859533489,0.2809757434745082,0.0,0.0,0.523113813960917,l>r,dyad12-dyad33-cond1
75,75,0.0,0.0,0.0,0.0,0.47984105763769347,r>l,dyad12-dyad33-cond1
76,76,0.0,0.0,0.0,0.0,0.4138051794291606,l>r,dyad12-dyad33-cond1
77,77,0.0,0.0,0.11470786693528087,0.11470786693528087,0.752265208381377,r>l,dyad12-dyad33-cond1
78,78,0.08111071056538127,0.07808688094430304,0.0,0.0,0.7629623334977828,l>r,dyad12-dyad33-cond1
79,79,0.24525573579398632,0.4131969352706687,0.0,0.0,0.6190633866827123,r>l,dyad12-dyad33-cond1
80,80,0.16903085094570328,0.16903085094570328,0.0,0.0,0.59837236857299,l>r,dyad12-dyad33-cond1
81,81,0.0,0.0,0.0,0.0,0.5513450312585498,r>l,dyad12-dyad33-cond1
82,82,0.0,0.0,0.0,0.0,0.47427470696048313,l>r,dyad12-dyad33-cond1
83,83,0.09805806756909201,0.09805806756909201,0.0,0.0,0.7366449808232824,r>l,dyad12-dyad33-cond1
84,84,0.24999999999999994,0.24999999999999994,0.0,0.0,0.740159721701697,l>r,dyad12-dyad33-cond1
85,85,0.0,0.0,0.0,0.0,0.587486341000459,r>l,dyad12-dyad33-cond1
86,86,0.0,0.0,0.0,0.0,0.6973636014689143,l>r,dyad12-dyad33-cond1
87,87,0.0,0.2182178902359924,0.0,0.0,0.5573043124862813,r>l,dyad12-dyad33-cond1
88,88,0.25,0.25,0.0,0.0,0.7678536048993553,l>r,dyad12-dyad33-cond1
89,89,0.2917299829957891,0.48536267169707553,0.0,0.0,0.5694868793896282,r>l,dyad12-dyad33-cond1
90,90,0.2205271385679885,0.2620712091804796,0.0,0.0,0.6625660970168209,l>r,dyad12-dyad33-cond1
91,91,0.0,0.0,0.0,0.0,0.6942362854164965,r>l,dyad12-dyad33-cond1
92,92,0.0,0.0,0.0,0.0,0.22783104464792392,l>r,dyad12-dyad33-cond1
93,93,0.20412414523193154,0.20412414523193154,0.0,0.0,0.4793050516501607,r>l,dyad12-dyad33-cond1
94,94,0.06375767130633384,0.1786474002526241,0.0,0.0,0.6069284295302562,l>r,dyad12-dyad33-cond1
95,0,0.2886751345948129,0.4522670168666454,0.08671099695241198,0.08671099695241198,0.4389620153982885,l>r,dyad12-dyad44-cond1
96,1,0.20412414523193154,0.35355339059327373,0.16903085094570328,0.16903085094570328,0.4400454676592165,r>l,dyad12-dyad44-cond1
97,2,0.3999999999999999,0.5999999999999999,0.0,0.0,0.27601026427952724,l>r,dyad12-dyad44-cond1
98,3,0.19999999999999996,0.3999999999999999,0.0,0.0,0.5057361500907098,r>l,dyad12-dyad44-cond1
99,4,0.23094010767585027,0.11547005383792514,0.0,0.0,0.5189808666210337,l>r,dyad12-dyad44-cond1
100,5,0.21081851067789195,0.21081851067789195,0.0,0.0,0.5064086080920014,r>l,dyad12-dyad44-cond1
101,6,0.0,0.08908708063747481,0.0,0.0,0.6055038861119135,l>r,dyad12-dyad44-cond1
102,7,0.13834289277321493,0.1973855084879307,0.0,0.0,0.65318560208916,r>l,dyad12-dyad44-cond1
103,8,0.10540925533894596,0.16984155512168936,0.05270462766947299,0.05270462766947299,0.7061480328843233,l>r,dyad12-dyad44-cond1
